Nome Campagna;CAP;Payout;Vol. erogato;Speso;CPL oggi;Margine day
Remail;0;0;0;0.00;;
Ariel;100;20;21;732.00;34.85;-50
Bagni;100;25;22;882.00;40.09;-50
Iberdrola Spagna;880;11;753;6543.00;10.00;
Coche;0;13;;;;
Pianificazione fiscale;0;0;;;;-40
Metlife tiktok;175;16;75;1540.00;23.00;
Metlife OTP;400;16;298;3113.00;12.00;
Metlife LP;625;20;56;914.00;18.00;
Metlife lead ads;202;7.5;202;890.00;;
SKY WIFI;120;25;80;1268.00;18.00;
TIM - Mobile;10870;11.5;7177;52001.00;8.00;
TIM 24,90;143;14;86;478.00;9.00;
BMW MOTORAD;790;19;322;6118.00;11.00;
Ford Approved;198;12;147;1371.00;11.00;
FORD BLUE;195;15;195;1935.00;;
Mach e;122;17;121;1043.00;;
FordPRO;223;17;223;4356.00;;
FORD PRO Elettrico;34;30;32;429.00;;
FORD Flotte;0;25;0;0;;
Lexus AWO;607;28;398;7876.00;24.00;
Kinto;850;20;533;4384.00;12.00;
WIND;20;155;10;1400.00;150.00;
WIND b2b;100;30;57;623.00;15.00;
__giorni__;9
__margine_fatto__;70817.60
__margine_dem__;12085.00
__call_center__;272
__margine_social__;23861.91
__margine_dem_fatto__;14632
